"Program","Year","Period","State","Commodity","Data_Item","Domain","Total_Yield","Average_Annual_Temperature","Average_Annual_Temperature_Uncertainty","Min_Annual_Temperature","Max_Annual_Temperature","Annual_Temperature_Variance","Annual_Temperature_SD","Annual_Percipitation","Annual_Percipitation_Anomaly..departure.from.mean.","State_Percipitaiton_Mean","Outlier"
"SURVEY",2013,"YEAR","ALABAMA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43.5,18.95655556,0.313444444,9.161,26.107,55.30223678,7.436547369,64.7,9.45,55.25,"No"
"SURVEY",2013,"YEAR","ARKANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",43.5,17.50611111,0.294111111,5.69,26.146,77.24379586,8.788844967,54.24,4.63,49.61,"No"
"SURVEY",2013,"YEAR","DELAWARE","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",40.5,14.044,0.348333333,1.726,25.679,87.55175325,9.356909386,50.75,7.4,43.35,"No"
"SURVEY",2013,"YEAR","FLORIDA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",41,23.03366667,0.327888889,15.533,28.188,24.6597285,4.965856271,56.87,3.22,53.65,"No"
"SURVEY",2013,"YEAR","ILLINOIS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",50,13.009,0.326777778,-1.349,23.346,116.2628895,10.78252705,42.49,5.02,37.47,"No"
"SURVEY",2013,"YEAR","INDIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",51.5,13.05844444,0.325222222,-0.92,23.096,109.7551335,10.47640843,45.14,5.41,39.73,"No"
"SURVEY",2013,"YEAR","IOWA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",45.5,11.11211111,0.323666667,-5.053,23.204,143.5280606,11.98031972,34.44,2.35,32.09,"No"
"SURVEY",2013,"YEAR","KANSAS","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",37,14.63466667,0.320333333,0.226,25.682,117.2302178,10.82729042,29.03,1.97,27.06,"No"
"SURVEY",2013,"YEAR","KENTUCKY","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",50,14.93955556,0.307666667,2.693,24.006,87.83925703,9.372259974,55.78,8.84,46.94,"No"
"SURVEY",2013,"YEAR","LOUISIANA","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL",48.5,20.96266667,0.274222222,11.652,28.129,50.22926925,7.087261054,61.43,4.54,56.89,"No"
